,title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
0,乔乔的异想世界 Jojo Rabbit,2019,塔伊加·维迪提,塔伊加·维迪提/克里斯汀·勒南斯,罗曼·格里芬·戴维斯/托马辛·麦肯齐/斯嘉丽·约翰逊/塔伊加·维迪提/山姆·洛克威尔/蕾蓓尔·威尔森/阿尔菲·艾伦/斯戴芬·莫昌特/阿奇·耶茨/卢克·布兰登·菲尔德/山姆·海加斯/史丹斯拉夫·卡拉斯/乔·温特劳布/布莱恩·卡斯佩/加布里埃尔·安德鲁斯/罗伯特·伊斯特/比利·雷纳/克里斯蒂安·豪林斯/吉尔比·格里芬·戴维斯/哈迪·格里芬·戴维斯/柯蒂斯·马修/贝萨尼·亚当斯/朱迪思·乔治/维多利亚·霍根,剧情/喜剧/战争,                                　　二战时期，男孩乔乔(戴维斯)和母亲(斯嘉丽)生活在纳粹德国统治下，他不知道母亲在家中藏着一个犹太女孩(麦肯齐)，而母亲秘密为抵抗军工作。乔乔渴望加入希特勒青年团，他脑内出了一个颠覆版的希特勒，这个希特勒有魅力、傻傻的、天真可爱，是他的朋友，帮助他应付生活中的困境。                       ,108分钟,2020-07-31(中国大陆)/2019-09-08(多伦多电影节)/2019-11-08(美国), 美国 / 捷克 / 新西兰, 英语 / 德语,213461.0,8.4,37.1%,47.6%,13.9%,1.2%,0.2%,63176.0,770.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614997041.jpg
1,哪吒之魔童降世,2019,饺子,饺子/易巧/魏芸芸,吕艳婷/囧森瑟夫/瀚墨/陈浩/绿绮/张珈铭/杨卫,剧情/喜剧/动画/奇幻,                                　　天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？                       ,110分钟,2019-07-26(中国大陆)/2019-07-13(大规模点映), 中国大陆, 汉语普通话,1474279.0,8.5,43.8%,39.2%,14.4%,2.0%,0.6%,496251.0,13384.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg
2,少年的你,2019,曾国祥,林咏琛/李媛/许伊萌,周冬雨/易烊千玺/尹昉/周也/吴越/黄觉/张艺凡/张耀/张歆怡/赵润南/郜玄铭/谢欣桐/刘然/何廖侣匀/胖虎/罗俊林,剧情/爱情/犯罪,                                　　陈念（周冬雨 饰）是一名即将参加高考的高三学生，同校女生胡晓蝶（张艺凡 饰）的跳楼自杀让她的生活陷入了困顿之中。胡晓蝶死后，陈念遭到了以魏莱（周也 饰）为首的三人组的霸凌，魏莱虽然表面上看来是乖巧的优等生，实际上却心思毒辣，胡晓蝶的死和她有着千丝万缕的联系。                                   ,135分钟,2019-10-25(中国大陆), 中国大陆, 汉语普通话,1138530.0,8.3,35.8%,46.4%,14.9%,1.8%,1.0%,385773.0,14798.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572166063.jpg
3,流浪地球,2019,郭帆,龚格尔/严东旭/郭帆/叶俊策/杨治学/吴荑/叶濡畅/沈晶晶/刘慈欣,屈楚萧/吴京/李光洁/吴孟达/赵今麦/隋凯/屈菁菁/张亦驰/杨皓宇/阿尔卡基·沙罗格拉茨基/李虹辰/杨轶/姜志刚/张欢/雷佳音/宁浩/刘慈欣/郭京飞/王智/张子贤/路阳/张宁/张小北/饶晓志/陶珞依/吴晓亮/龚格尔/郭帆,科幻/冒险/灾难,                                　　近未来，科学家们发现太阳急速衰老膨胀，短时间内包括地球在内的整个太阳系都将被太阳所吞没。为了自救，人类提出一个名为“流浪地球”的大胆计划，即倾全球之力在地球表面建造上万座发动机和转向发动机，推动地球离开太阳系，用2500年的时间奔往另外一个栖息之地。中国航天员刘培强（吴京 饰）在儿子刘启四岁那年前往国际空间站，和国际同侪肩负起领航者的重任。转眼刘启（屈楚萧 饰）长大，他带着妹妹朵朵（赵今麦 饰）偷偷跑到地表，偷开外公韩子昂（吴孟达 饰）的运输车，结果不仅遭到逮捕，还遭遇了全球发动机停摆的事件。为了修好发动机，阻止地球坠入木星，全球开始展开饱和式营救，连刘启他们的车也被强征加入。在与时间赛跑的过程中，无数的人前仆后继，奋不顾身，只为延续百代子孙生存的希望……                                   ,125分钟,2019-02-05(中国大陆), 中国大陆, 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语,1564016.0,7.9,32.5%,38.2%,22.3%,4.7%,2.3%,588091.0,21761.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg
4,我和我的祖国,2019,陈凯歌/张一白/管虎/薛晓路/徐峥/宁浩/文牧野,文宁/修梦迪/薛晓路/何可可/徐峥/管虎/张冀,黄渤/张译/韩昊霖/杜江/葛优/刘昊然/宋佳/王千源/任素汐/吴京/朱一龙/王东/陈飞宇/佟丽娅/欧豪/张嘉益/惠英红/龚蓓苾/田壮壮/韩东君/辛柏青/周冬雨/任达华/江珊/王砚辉/耿乐/姜武/梁静/佟大为/魏晨/胡军/王天辰/彭昱畅/罗海琼/郭丞/周依然/樊雨洁/刘涛/马伊琍/张建亚/徐峥/王洛勇/高亚麟/王道铁/程禹森/马书良/景海鹏/陈冬/雷佳音/张子枫/陶虹/郭京飞/袁文康/贾晨飞/邵汶/张芝华/段博文/郎平,剧情,                                　　七位导演分别取材新中国成立70周年以来，祖国经历的无数个历史性经典瞬间。讲述普通人与国家之间息息相关密不可分的动人故事。聚焦大时代大事件下，小人物和国家之间，看似遥远实则密切的关联，唤醒全球华人共同回忆。                       ,155分钟,2019-09-30(中国大陆), 中国大陆, 汉语普通话,769169.0,7.7,22.5%,46.9%,26.7%,3.0%,0.9%,232610.0,3545.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567998580.jpg
5,寄生虫 기생충,2019,奉俊昊,奉俊昊/韩进元,宋康昊/李善均/曹如晶/崔宇植/朴素丹/李姃垠/张慧珍/郑知晓/朴明勋/朴叙俊/朴根祿/郑贤俊/朴孝新/安德烈亚斯·弗龙克,剧情/喜剧,                                　　基宇（崔宇植 饰）出生在一个贫穷的家庭之中，和妹妹基婷（朴素丹 饰）以及父母在狭窄的地下室里过着相依为命的日子。一天，基宇的同学上门拜访，他告诉基宇，自己在一个有钱人家里给他们的女儿做家教，太太是一个头脑简单出手又阔绰的女人，因为自己要出国留学，所以将家教的职位暂时转交给基宇。                                   ,132分钟,2019-05-21(戛纳电影节)/2019-05-30(韩国), 韩国, 韩语 / 英语,1001972.0,8.7,47.2%,43.2%,8.6%,0.6%,0.3%,267564.0,7255.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg
6,天气之子 天気の子,2019,新海诚,新海诚,醍醐虎汰朗/森七菜/小栗旬/本田翼/倍赏千惠子/吉柳咲良/平泉成/梶裕贵/木村良平/柴田秀胜/野泽雅子/花泽香菜/佐仓绫音,爱情/动画/奇幻,                                　　高一那年夏天，帆高（醍醐虎汰朗配音）离开位在离岛的家乡，独自一人来到东京，拮据的生活迫使他不得不找份工作，最后来到一间专门出版奇怪超自然刊物的出版社担任写手。不久，东京开始下起连日大雨，仿佛暗示着帆高不顺遂的未来，在这座繁忙城市里到处取材的帆高邂逅了与弟弟相依为命，不可思议的美少女阳菜（森七菜配音）。「等等就会放晴了喔。」阳菜这样告诉着帆高，不久，头顶的乌云逐渐散去，耀眼的阳光洒落街道……原来，阳菜拥有「改变天气」的奇妙能力……                       ,112分钟,2019-11-01(中国大陆)/2019-07-19(日本), 日本, 日语,243038.0,7.1,14.9%,36.3%,40.1%,7.6%,1.2%,87465.0,2237.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558022335.jpg
7,复仇者联盟4：终局之战 Avengers: Endgame,2019,安东尼·罗素/乔·罗素,克里斯托弗·马库斯/斯蒂芬·麦克菲利/斯坦·李/杰克·科比/吉姆·斯特林,小罗伯特·唐尼/克里斯·埃文斯/马克·鲁弗洛/克里斯·海姆斯沃斯/斯嘉丽·约翰逊/杰瑞米·雷纳/保罗·路德/凯伦·吉兰/唐·钱德尔/布丽·拉尔森/布莱德利·库珀/泰莎·汤普森/汤姆·赫兰德/伊丽莎白·奥尔森/本尼迪克特·康伯巴奇/蒂尔达·斯文顿/格温妮斯·帕特洛/蕾妮·罗素/约翰·斯拉特里/查德维克·博斯曼/安东尼·麦凯/塞巴斯蒂安·斯坦/克里斯·帕拉特/汤姆·希德勒斯顿/佐伊·索尔达娜/丹娜·奎里拉/本尼迪克特·王/庞·克莱门捷夫/戴夫·巴蒂斯塔/利蒂希娅·赖特/伊万杰琳·莉莉/乔恩·费儒/海莉·阿特维尔/娜塔莉·波特曼/玛丽莎·托梅/塔伊加·维迪提/安吉拉·贝塞特/迈克尔·道格拉斯/米歇尔·菲佛/威廉·赫特/寇碧·史莫德斯/肖恩·古恩/温斯顿·杜克/琳达·卡德里尼/马克斯米利亚诺·赫尔南德斯/弗兰克·格里罗/真田广之/汤姆-沃恩-劳勒/詹姆斯·达西/雅各布·巴特朗/范·迪塞尔/罗伯特·雷德福/乔什·布洛林/塞缪尔·杰克逊/伊薇特·尼科尔·布朗/卡梅伦·布鲁姆布罗/蒂莫西·卡尔/凯瑞·康顿/迈克尔·A·库克/凯莉·库恩/艾玛·福尔曼/雷纳·加拉赫/丹妮拉·加斯基/郑肯/小弗洛伊德·安东尼·约翰/斯坦·李/罗斯·马昆德/布伦特·麦吉/迈克尔·皮耶里诺·米勒/卡兰·马尔韦/泰瑞·诺塔里/吉米·雷·皮肯斯/迈克尔·詹姆斯·肖/泰·辛普金斯/格雷格·蒂芬,剧情/动作/科幻/奇幻/冒险,                                　　一声响指，宇宙间半数生命灰飞烟灭。几近绝望的复仇者们在惊奇队长（布丽·拉尔森 Brie Larson 饰）的帮助下找到灭霸（乔什·布洛林 Josh Brolin 饰）归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。如是过了五年，迷失在量子领域的蚁人（保罗·路德 Paul Rudd 饰）意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长（克里斯·埃文斯 Chris Evans 饰）冰释前嫌的托尼（小罗伯特·唐尼 Robert Downey Jr. 饰）找到了穿越时空的方法，星散各地的超级英雄再度集结，他们分别穿越不同的时代去搜集无限宝石。而在这一过程中，平行宇宙的灭霸察觉了他们的计划。                                   ,181分钟,2019-04-24(中国大陆)/2019-04-26(美国), 美国, 英语 / 日语 / 科萨语,864996.0,8.5,46.5%,35.4%,15.4%,1.9%,0.8%,260125.0,5847.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.jpg
8,误杀,2019,柯汶利,杨薇薇/翟培/李鹏/范凯华/秦语谦/雷声,肖央/谭卓/陈冲/姜皓文/秦沛/边天扬/许文姗/张熙然/施名帅/黄健玮/陈志朋,剧情/悬疑/犯罪,                                　　李维杰（肖央 饰）与妻子阿玉（谭卓 饰）来泰打拼17年，膝下育有两个女儿，年届四十的他靠开设网络公司为生，为人也颇得小镇居民的好感，而这一切美好却被突如其来的不速之客打破。这个充斥走私，贩毒活动的边陲小镇，各种权力交织碾压公平正义。李维杰的大女儿平平（许文珊 饰）被督察长拉韫（陈冲 饰）的儿子素察（边天扬 饰）迷奸，因反抗误杀对方。李维杰曾亲眼目睹督察长滥用私刑，深知法律无用，为了维护女儿，捍卫家人，李维杰埋尸掩盖一切证据，在时间与空间的交错缝隙中，与警方在身心层面，展开了殊死一搏的较量。                       ,112分钟,2019-12-13(中国大陆)/2020-07-20(中国大陆重映)/2019-12-07(大规模点映), 中国大陆, 汉语普通话 / 泰语,605362.0,7.7,17.6%,52.2%,26.4%,3.0%,0.7%,185063.0,3222.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614628862.jpg
9,小丑 Joker,2019,托德·菲利普斯,托德·菲利普斯/斯科特·西尔弗/鲍勃·凯恩/比尔·芬格/杰瑞·罗宾逊,华金·菲尼克斯/罗伯特·德尼罗/马克·马龙/莎姬·贝兹/谢伊·惠格姆/弗兰西丝·康罗伊/布莱恩·考伦/布莱恩·泰里·亨利/布莱特·卡伦/道格拉斯·霍奇斯/格伦·弗莱施勒/比尔·坎普/乔什·帕斯/但丁·佩雷拉-奥尔森/玛丽·凯特·马拉特/迈克尔·本茨/莎珑·华盛顿/桑德拉·詹姆斯/托尼·赫德/曼德拉·贝拉米/乔·奥克曼/卡尔·伦德施泰特/米克·奥罗克/大卫·吉布森/伊万·罗萨多/安妮·比萨比亚/布莱斯·科里根/乔恩·道格拉斯·雷尼/艾恩斯利·丹恩/杰森·约翰·奇卡莱塞,剧情/惊悚/犯罪,                                　　湿冷无望的哥谭市，卑微的亚瑟·弗兰克（华金·菲尼克斯 Joaquin Phoenix 饰）依靠扮演小丑赚取营生。与之相依为命的母亲患有精神疾病，而亚瑟深记母亲的教诲，无论遭受怎样的挫折都笑对人生，却因此让自己背负着莫大的压力，濒临崩溃。他梦想成为一名脱口秀演员，怎奈生活一次次将失望狠狠地砸在他的头上。不仅如此，他因意外丢掉了工作，偶然瞥见母亲的秘密，又使他心中燃起对那个与之地位悬殊却从未谋面的父亲的殷切渴望。命运习惯了事与愿违，空荡荡的地铁内，悲伤的小丑在无法自已的癫狂笑声中大开杀戒……                                   ,122分钟,2019-08-31(威尼斯电影节)/2019-10-04(美国), 美国 / 加拿大, 英语,734489.0,8.7,49.0%,38.5%,10.7%,1.3%,0.7%,198488.0,4904.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg
