,title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
0,寻梦环游记 Coco,2017,李·昂克里奇/阿德里安·莫利纳,阿德里安·莫利纳/马修·奥尔德里奇/李·昂克里奇/詹森·卡茨,安东尼·冈萨雷斯/盖尔·加西亚·贝纳尔/本杰明·布拉特/阿兰娜·乌巴赫/芮妮·维克托/杰米·卡米尔/阿方索·阿雷奥/赫伯特·西古恩萨/加布里埃尔·伊格莱西亚斯/隆巴多·博伊尔/安娜·奥菲丽亚·莫吉亚/娜塔丽·科尔多瓦/赛琳娜·露娜/爱德华·詹姆斯·奥莫斯/索菲亚·伊斯皮诺萨/卡拉·梅迪纳/黛娅娜·欧特里/路易斯·瓦尔德斯/布兰卡·阿拉切利/萨尔瓦多·雷耶斯/切奇·马林/奥克塔维·索利斯/约翰·拉岑贝格,喜剧/动画/音乐/奇幻,热爱音乐的米格尔（安东尼·冈萨雷兹 Anthony Gonzalez 配音）不幸地出生在一个视音乐为洪水猛兽的大家庭之中，一家人只盼着米格尔快快长大，好继承家里传承了数代的制鞋产业。一年一度的亡灵节即将来临，每逢这一天，去世的亲人们的魂魄便可凭借着摆在祭坛上的照片返回现世和生者团圆。,105分钟,2017-11-24(中国大陆)/2020-07-20(中国大陆重映)/2017-11-22(美国), 美国, 英语 / 西班牙语,1138266.0,9.1,61.7%,31.0%,6.7%,0.4%,0.1%,284122,6573.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg
1,羞羞的铁拳,2017,宋阳/张吃鱼,张吃鱼/宋阳,艾伦/马丽/沈腾/田雨/宋阳/薛皓文/常远/黄才伦/王智,喜剧/奇幻,堕落沉沦的MMA选手艾迪生（艾伦 饰）依靠打假拳度日，早已忘记昔日的雄心壮志。某次他和假拳掮客马东（田雨 饰）商议打假赛的时候，不慎被正义感爆棚的体育记者马小（马丽 饰）听到并录音。在追赶马丽的过程中，艾迪生和对方一同跌入游泳池，并遭到雷电的电击。当他们从医院醒来后，发现两人居然互换了身体。在所有复原的办法都失败后，艾迪生只能请求马小代替他去和拳王吴良（薛皓文 饰）——同时也是马小的未婚夫——去打比赛。然而，娘娘的艾迪生和汉子力爆表的马小却闹出了一连串的笑话。,100分钟,2017-09-30(中国大陆), 中国大陆, 汉语普通话,568179.0,6.9,11.0%,34.8%,42.6%,9.4%,2.1%,154952,1976.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2499793218.jpg
2,战狼2,2017,吴京,吴京/董群/刘毅,吴京/弗兰克·格里罗/吴刚/张翰/卢靖姗/丁海峰/淳于珊珊/余男/于谦/石兆琪/海蒂·莫尼梅克/奥列格·普鲁迪乌斯/艾伦·托尼/赛尔·哈里斯/高明/王森/苇青/程愫/张永达/郭秋成/杜建桥/周冠廷/安·詹姆斯/黛安娜·希拉/孙率航/张馨月/关海龙/安妮塔·斯图尔特/特雷弗·琼斯/奥斯汀·普里斯特/克莱·方特诺特/保罗·艾力卡/丹尼尔·哈格里夫/李镇男/庄小龙/陈云志/肯尼迪,动作/战争,由于一怒杀害了强拆牺牲战友房子的恶霸，屡立功勋的冷锋（吴京 饰）受到军事法庭的判决。在押期间，亲密爱人龙小云壮烈牺牲。出狱后，冷锋辗转来到非洲，他辗转各地，只为寻找杀害小云的凶手。在此期间，冷锋逗留的国家发生叛乱，叛徒红巾军大开杀戒，血流成河。中国派出海军执行撤侨任务，期间冷锋得知有一位陈博士被困在五十五公里外的医院，而叛军则试图抓住这位博士。而从另一位华侨（于谦 饰）口中得知，杀害小云的凶手正待在这个国家。,123分钟,2017-07-27(中国大陆), 中国大陆, 汉语普通话 / 英语,748402.0,7.1,19.8%,34.5%,31.4%,8.7%,5.5%,244564,9654.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2494701965.jpg
3,芳华,2017,冯小刚,严歌苓,黄轩/苗苗/钟楚曦/杨采钰/李晓峰/王天辰/王可如/隋源/张仁博/苏岩/张国立/赵立新,剧情/历史/战争,故事发生在上世纪七十年代，寄人篱下的少女何小萍（苗苗 饰）经过重重试炼终于加入了梦寐以求的文工团，哪知道这里和她曾经待过的那些地方并无不同，她依然得忍受遭人唾弃和欺侮的生活。唯一给过她温暖的，是刘峰（黄轩 饰），不仅仅是对何小萍，被称为“活雷锋”的刘峰把自己的爱情和温暖无私的奉献给每一个人。,136分钟,2017-12-15(中国大陆)/2017-09-07(多伦多电影节), 中国大陆, 汉语普通话,673595.0,7.7,21.1%,46.2%,27.9%,3.9%,1.0%,192336,11915.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2507227732.jpg
4,银河护卫队2 Guardians of the Galaxy Vol. 2,2017,詹姆斯·古恩,詹姆斯·古恩/丹·阿布内特/安迪·兰宁,克里斯·帕拉特/佐伊·索尔达娜/戴夫·巴蒂斯塔/范·迪塞尔/布莱德利·库珀/凯伦·吉兰/迈克尔·鲁克/庞·克莱门捷夫/伊丽莎白·德比茨基/肖恩·古恩/库尔特·拉塞尔/克里斯·沙利文/大卫·哈塞尔霍夫/西尔维斯特·史泰龙/杨紫琼,动作/科幻/冒险,火箭浣熊（布莱德利·库珀 Bradley Cooper 饰）偷走了大祭司阿耶莎（伊丽莎白·德比齐 Elizabeth Debicki 饰）的能量电池，包括星爵（克里斯·帕拉特 Chris Pratt 饰）、卡魔拉（佐伊·索尔达娜 Zoe Saldana 饰）、德拉克斯（戴夫·巴蒂斯塔 Dave Bautista 饰）在内的一行人遭到了后者派出的舰队的袭击。一个神秘人物乘坐着飞船救下了银河护卫队的众人，而驾驶着飞船的不是别人，竟然正是星爵的亲生父亲伊戈（库尔特·拉塞尔 Kurt Russell 饰）。,136分钟,2017-05-05(中国大陆/美国)/2017-04-19(洛杉矶首映), 美国, 英语,386710.0,8.0,28.2%,46.9%,22.2%,2.3%,0.4%,88205,1008.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455261804.jpg
5,蜘蛛侠：英雄归来 Spider-Man: Homecoming,2017,乔·沃茨,约翰·弗朗西斯·戴利/史蒂夫·迪特寇/乔纳森·M·戈尔茨坦/斯坦·李,汤姆·赫兰德/小罗伯特·唐尼/玛丽莎·托梅/迈克尔·基顿/雅各布·巴特朗/托尼·雷沃罗利/赞达亚/乔恩·费儒/亚伯拉罕·阿塔哈/劳拉·哈里尔/迈克尔·巴尔别里/罗根·马歇尔-格林/马丁·斯塔尔/唐纳德·格洛弗/汉尼拔·布勒斯/迈克尔·曼多/博基姆·伍德拜因/肯尼斯·崔/詹妮弗·康纳利/格温妮斯·帕特洛/克里斯·埃文斯,动作/科幻/冒险,彼得帕克（汤姆·赫兰德 Tom Holland 饰）在内战后受到了钢铁侠托尼斯塔克（小罗伯特·唐尼 Robert Downey Jr. 饰）的赏识，表面上，彼得进入托尼的公司成为了一名实习生，实际上，他和复仇者联盟的成员们一起接受了各种各样的训练。托尼虽然欣赏彼得的勇敢和正直，却并不认为他目前已经拥有加入复联的实力，他派出了特工哈皮（乔恩·费儒 Jon Favreau 饰）暗中观察，这让十分想证明自己的彼得感到万分焦躁。,133分钟,2017-09-08(中国大陆)/2017-06-28(洛杉矶首映)/2017-07-07(美国), 美国, 英语,357284.0,7.4,14.5%,45.3%,35.6%,3.9%,0.7%,85046,1179.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2497756471.jpg
6,天才枪手 ฉลาดเกมส์โกง,2017,纳塔吾·彭皮里亚,塔妮达·汉塔维瓦塔娜/瓦苏红·皮娅罗姆娜/纳塔吾·彭皮里亚,茱蒂蒙·琼查容苏因/查侬·散顶腾古/依莎亚·贺苏汪/披纳若·苏潘平佑/塔内·瓦拉库努娄/莎琳雷特·托马斯/伊戈·米基塔斯/帕辛·宽萨塔彭/萨哈贾克·波斯安吉特/坎嘉娜·维耐潘尼/育塔彭·瓦拉努科洛楚/诺帕瓦特·里基特王,剧情/悬疑/犯罪,影片根据2014年轰动一时的亚洲考场作弊案改编，讲述了天才学霸利用高智商考场作弊牟取暴利的故事。出生平凡的天才少女Lynn（茱蒂蒙·琼查容苏因 饰）在进入贵族学校后，结识了富二代同学Grace（依莎亚·贺苏汪饰）与Pat（披纳若·苏潘平佑饰），从此开始了考场作弊生涯，与此同时，另一名记忆力极佳的天才学霸Bank（查侬·散顶腾古 饰）发现了Lynn不为人知的“交易”。经过多场险象环生的“作弊战争”后，Lynn接下最后一单在国际考场上为富家子弟作弊的天价委托。一场横跨两大洲的完美作弊方案横空出世，然而一切并不像他们想的那么简单……,130分钟,2017-10-13(中国大陆)/2017-05-03(泰国), 泰国, 泰语 / 英语,582535.0,8.2,28.5%,53.4%,16.7%,1.1%,0.2%,149135,3943.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2501863104.jpg
7,妖猫传,2017,陈凯歌,王蕙玲/陈凯歌/梦枕貘,黄轩/染谷将太/张雨绮/秦昊/张榕容/刘昊然/欧豪/张鲁一/阿部宽/田雨/刘佩琦/辛柏青/成泰燊/李淳/秦怡/松坂庆子/张天爱/周中和/火野正平/夏楠/陈旭/王迪/宋运成,剧情/悬疑/奇幻/古装,故事发生在盛唐时期的长安城，白乐天（黄轩 饰）本是朝廷要官，却为了收集写诗的素材而甘愿被贬为起居郎。长安城内连连发生离奇的死亡事件，就连当今圣上也难逃厄运离奇身亡，这一切都和一只神出鬼没的妖猫有关。日本僧人空海（染谷将太 饰）本为了替皇帝解咒远渡重洋而来，却和白乐天意气相投，两人决心携手调查案件真相。,129分钟(中国大陆),2017-12-22(中国大陆)/2018-02-24(日本), 中国大陆 / 日本, 汉语普通话 / 日语,592660.0,6.9,13.2%,36.0%,38.3%,9.5%,2.9%,206449,7741.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2530249558.jpg
8,请以你的名字呼唤我 Call Me by Your Name,2017,卢卡·瓜达尼诺,詹姆斯·伊沃里/安德列·艾席蒙,艾米·汉莫/蒂莫西·柴勒梅德/迈克尔·斯图巴/阿蜜拉·卡萨/艾斯特·加瑞尔/维克图瓦尔·杜布瓦/旺妲·卡布里奥罗/安东尼奥·里莫尔迪/埃琳娜·布奇/马可·斯格罗索/安德列·艾席蒙/彼得·斯皮尔斯,剧情/爱情/同性,故事发生在八十年代的意大利里维埃拉，每年夏天，十七岁的少年艾力奥（提莫西·查拉梅 Timothée Chalamet 饰）都会跟家人一起来此地度假。今年，和他们共享假日时光的，还有来自美国的奥利弗（艾米·汉莫 Armie Hammer 饰），高大英俊热情开朗的奥利弗很快就获得了艾力奥一家人的喜爱。,132分钟,2017-01-22(圣丹斯电影节)/2017-11-24(美国), 意大利 / 法国 / 巴西 / 美国 / 荷兰 / 德国, 英语 / 意大利语 / 法语 / 德语 / 希伯来语,474435.0,8.9,56.2%,33.1%,9.3%,1.0%,0.4%,142443,4067.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg
9,雷神3：诸神黄昏 Thor: Ragnarok,2017,塔伊加·维迪提,埃里克·皮尔森/克雷格·凯尔/克里斯托弗·约斯特/斯坦·李/拉里·利伯/杰克·科比,克里斯·海姆斯沃斯/汤姆·希德勒斯顿/凯特·布兰切特/伊德里斯·艾尔巴/杰夫·高布伦/泰莎·汤普森/卡尔·厄本/马克·鲁弗洛/安东尼·霍普金斯/本尼迪克特·康伯巴奇/塔伊加·维迪提/瑞切尔·豪斯/克兰西·布朗/浅野忠信/雷·史蒂文森/扎克瑞·莱维/卢克·海姆斯沃斯/马特·达蒙/山姆·尼尔/夏洛特·尼克道/斯坦·李,动作/奇幻/冒险,在“索科维亚战役”两年后，雷神索尔（克里斯·海姆斯沃斯 Chris Hemsworth 饰）识破了洛基（汤姆·希德勒斯顿 Tom Hiddleston 饰）的伪装，辗转找到了被放逐到地球的奥丁（安东尼·霍普金斯 Anthony Hopkins 饰）。然而垂死的奥丁却告知两个儿子，“诸神的黄昏”已经开始，曾遭到奥丁封禁的死亡女神海拉（凯特·布兰切特 Cate Blanchett 饰）即将重返阿斯加德。与海拉的初次对决中，索尔失去了雷神之锤，他和洛基也被打落至混乱不堪的萨卡星。在萨卡的决斗场上，索尔重逢失踪许久的绿巨人，也见到了曾从海拉魔爪下逃得一生的女武神。,130分钟,2017-11-03(美国/中国大陆)/2017-10-24(英国), 美国, 英语,349274.0,7.4,16.2%,44.4%,34.4%,4.3%,0.7%,82591,965.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2500451074.jpg
